available;dwellingId;rent;lat;deletedAt;lng;size;rooms;year;month
;157579;16500;55.7582741;26-04-2017;12.5726166;95;3;2017;4
;166278;5000;55.6556625;29-03-2017;12.5488091;12;1;2017;3
;195123;6500;55.6862373;05-12-2017;12.591692;10;1;2017;12
;183262;6000;55.6885834;12-07-2017;12.5282373;15;1;2017;7
;21258;12800;55.6510544;28-06-2013;12.5475216;98;3;2013;6
;238294;9850;55.6841469;04-10-2018;12.5021648;46;2;2018;10
;211710;18000;55.6823654;23-03-2018;12.4008808;220;8;2018;3
;164474;4000;55.703907;22-03-2017;12.5215836;NA;1;2017;3
;160590;14600;55.6486053;12-02-2017;12.5524931;92;3;2017;2
;245794;13528.25;55.6614304;12-12-2018;12.5755796;108;3;2018;12
;51876;13350;55.652401;02-07-2014;12.5497704;99;3;2014;7
;162550;13818;55.6442986;27-07-2017;12.5504971;71;3;2017;7
;181405;10000;55.7077103;11-08-2017;12.5816193;49;2;2017;8
;160899;13800;55.6548233;20-02-2017;12.548275;89;3;2017;2
;222824;4000;55.7085571;13-04-2018;12.5823174;15;1;2018;4
;143022;12978;55.7037048;16-09-2016;12.5968056;91;2;2016;9
;91332;5000;55.6765213;21-06-2015;12.5327549;22;1;2015;6
01-05-2019;247599;17222.95;55.6843796;;12.5020199;111;3;2019;5
;152342;16900;55.6490517;29-11-2016;12.5352726;97;3;2016;11
;142886;13300;55.7411118;20-09-2016;12.4908466;103;4;2016;9
;59886;12975;55.7411118;17-09-2014;12.4908466;104;4;2014;9
;140870;17500;55.674614;09-09-2016;12.5504704;145;5;2016;9
;173343;22000;55.6992188;07-07-2017;12.5935402;128;4;2017;7
;43440;9800;55.6725922;20-05-2014;12.552927;98;3;2014;5
;192237;15300;55.6348305;08-02-2018;12.5797195;113;4;2018;2
;213106;4500;55.6862373;13-04-2018;12.591692;14;1;2018;4
;231585;13795;55.7253304;11-07-2018;12.4764633;100;4;2018;7
;211138;9750;55.6897583;22-01-2018;12.5634089;54;2;2018;1
;252108;13900;55.6647987;;12.6110897;90;3;1900;1
;161603;6000;55.7130966;22-02-2017;12.5722151;15;1;2017;2
01-04-2019;254424;15950;55.6608849;;12.5138292;117;4;2019;4
;172961;5335;55.6862373;16-05-2017;12.591692;30;1;2017;5
;153780;18000;55.6402245;04-01-2017;12.6114273;100;4;2017;1
;34479;14500;55.6786423;24-04-2014;12.5031214;105;3;2014;4
;249046;NA;55.65868;18-03-2019;12.5332098;41;NA;2019;3
;171772;13899;55.6601028;04-05-2017;12.5114365;101;4;2017;5
;231097;12650;55.6575775;11-07-2018;12.554369;92;3;2018;7
;181705;6800;55.7048988;17-07-2017;12.5442686;15;1;2017;7
;212931;11750;55.6179123;16-04-2018;12.5700464;70;2;2018;4
;137431;32000;55.6783485;04-08-2016;12.5800896;307;8;2016;8
;10460;11012;55.6353416;08-10-2012;12.5742836;99;3;2012;10
;139924;15000;55.660408;31-08-2016;12.6315737;100;3;2016;8
;239651;13100;55.6515694;15-03-2019;12.5558395;91;3;2019;3
;180244;11521;55.6498489;04-07-2017;12.5504704;79;3;2017;7
;158659;22000;55.6451111;04-04-2017;12.4981623;169;7;2017;4
;3049;11749;55.6073341;18-01-2012;12.5953531;121;4;2012;1
;172221;12100;55.659729;09-05-2017;12.5143566;74;3;2017;5
;145856;17500;55.6778946;11-10-2016;12.5732002;121;3;2016;10
;144151;13485;55.6606445;05-10-2016;12.5128431;92;3;2016;10
01-07-2019;254035;22100;55.7096291;;12.5768661;141;4;2019;7
;182730;4500;55.7091103;08-07-2017;12.5743027;7;1;2017;7
;169223;13017;55.6551857;18-04-2017;12.5485439;89;3;2017;4
;143872;2900;55.6643066;25-09-2016;12.6080122;9;1;2016;9
;11908;9744.75;55.6595421;05-11-2012;12.5719614;77;2;2012;11
;149812;15725;55.6489716;16-01-2017;12.5524588;102;4;2017;1
;1703;11900;55.6823502;03-11-2011;12.5133362;95;4;2011;11
;188912;15200;55.6811523;25-09-2017;12.5825224;114;NA;2017;9
;100622;15650;55.6455116;02-10-2015;12.5478773;99;4;2015;10
